Name,Company,Company ID,Offer URL,Region,Categories,Opening Date,Closing Date,Stage,Rolling,Needs CV,Needs Cover Letter,Company Description,Notes
Quantitative Research Intern - Specialist Equities,Man Group,man-group,https://job-boards.eu.greenhouse.io/mangroup/jobs/4847714101?gh_src=Trackr&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q3 Start,2026-05-05,2026-07-13,Unknown,False,True,True,"Man Group is a London-based active investment management firm with a global footprint, managing over $140 billion across strategies including hedge funds, long-only, and private markets. The firm operates through multiple investment engines—such as AHL, GLG, Numeric, and Man Global Private Markets—each with distinct styles, from quantitative and systematic to discretionary and fundamental. Man is especially recognised for its strength in data-driven strategies, risk management, and ESG integration, supported by in-house research and technology platforms. As a publicly listed asset manager, Man Group combines institutional scale with a multi-boutique model, offering customised solutions to pension funds, endowments, and wealth managers globally.",
"Intern, Private Equity (January – June 2027)",PSP Investments,psp-investments,https://investpsp.wd3.myworkdayjobs.com/en-US/psp_careers/job/Intern--Private-Equity---Hong-Kong--January---June-2027-_R4854?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2027 Q1 Start,2026-07-03,2026-07-27,Unknown,False,True,False,"Public Sector Pension Investment Board (PSP Investments) is one of Canada’s largest pension investment managers, overseeing over C$200 billion in assets for federal public service employees, the Canadian Forces, and the Royal Canadian Mounted Police. Headquartered in Montreal, with global offices in London, New York, and Hong Kong, PSP invests across public equities, private equity, infrastructure, credit, natural resources, and real estate. The organisation takes a long-term, active approach, often pursuing direct and co-investment opportunities. PSP is known for its global diversification, in-house expertise, and focus on responsible investing and climate-related financial risk.",
"Intern, Corporate Finance Hong Kong",ING,ing,https://ing.wd3.myworkdayjobs.com/en-US/jvsgblcor/job/Hong-Kong/Intern--Corporate-Finance-Hong-Kong_REQ-10111055?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,2026 Q3 Start,2026-05-19,2026-06-30,Unknown,False,True,False,"ING is a Dutch multinational banking group offering retail, commercial, and investment banking services to individuals, SMEs, corporates, and institutions globally. Headquartered in Amsterdam, ING operates across Europe, the Americas, and Asia, and is one of the largest banks in the Eurozone by market capitalisation. It is particularly well known for its digital banking capabilities, innovative customer platforms, and focus on cost-efficient service delivery. ING serves clients across lending, transaction services, structured finance, and capital markets, and maintains strong franchises in areas like sustainable finance, trade finance, and infrastructure lending. The bank has committed to aligning its portfolio with the goals of the Paris Agreement and is a founding member of the Net-Zero Banking Alliance. With a strong brand in retail banking and a growing institutional business, ING continues to evolve as a technology-driven and sustainability-focused financial institution.",
Trading Intern,Flow Traders,flow-traders,https://job-boards.greenhouse.io/flowtraders/jobs/7100637?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&gh_src=Trackr,Hong Kong,2026 Q4 Start,2026-06-01,,Unknown,False,True,True,"Flow Traders is a global electronic trading firm and liquidity provider, headquartered in Amsterdam with offices across Europe, Asia, and the Americas. The firm specialises in high-frequency and algorithmic trading of exchange-traded products (ETPs), derivatives, and fixed income instruments. It acts as a market maker, ensuring continuous pricing and liquidity across thousands of instruments globally. Flow Traders leverages proprietary technology and low-latency infrastructure to execute trades at high speed, often competing with firms like Optiver and IMC. It is also involved in digital asset trading and has expanded into crypto market making. Flow Traders combines quantitative research, data science, and real-time risk management to optimise market efficiency and maintain a strong presence on over 150 trading venues.",
"Intern, China Equity - 6 months",Allianz Global Investors,allianz-global-investors,https://careers.allianz.com/global/en/job/102711/Intern-China-Equity---6-months?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,2026 Q3 Start,2026-07-14,,Unknown,False,True,False,"Allianz Global Investors is a global investment management firm with a diverse range of active investment strategies. It offers expertise across equities, fixed income, multi-asset, and alternative investments. With a presence in numerous countries, the firm serves institutional and retail clients worldwide. Allianz Global Investors aims to deliver long-term investment outcomes by leveraging its research capabilities and risk management expertise. It is a part of the Allianz Group, a leading financial services provider.
",
Actuarial Internship 2027,Sun Life,sun-life,https://sunlife.wd3.myworkdayjobs.com/en-US/Experienced-Jobs/job/Actuarial-Internship-2027_JR00120885?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,2027 Q1 Start,2026-05-15,,Unknown,False,True,False,"Sun Life is a leading international financial services organization providing asset management, wealth, insurance, and health solutions. Founded in 1865 and headquartered in Toronto, the company serves millions of clients across Canada, the United States, Asia, and other global markets. It operates through a diverse portfolio of businesses focused on helping individuals achieve lifetime financial security and assisting companies in advancing the health and productivity of their employees. Sun Life is recognized for its long history of stability and its strategic focus on sustainable growth and digital innovation within the financial services sector.",
Off-Cycle Internship - Corporate Finance,Houlihan Lokey,houlihan-lokey,https://hl.wd1.myworkdayjobs.com/en-US/Campus/job/Off-Cycle-Internship---Corporate-Finance_R3228?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,2026 Q3 Start,2026-04-28,2026-05-31,Unknown,False,True,False,"Houlihan Lokey is a global investment bank headquartered in Los Angeles, specialising in M&A advisory, capital markets, financial restructuring, and valuation services. The firm is widely recognised for its leading role in middle-market transactions and has consistently ranked as the top global M&A advisor by volume. In restructuring, Houlihan Lokey is a dominant player, often advising both creditors and debtors on high-profile bankruptcies and distressed situations. It also has one of the largest dedicated financial valuation teams globally, supporting litigation, tax, and financial reporting mandates. With offices across North America, Europe, the Middle East, and Asia-Pacific, the firm serves public and private companies, financial sponsors, and government entities. Houlihan Lokey’s sector coverage spans consumer, healthcare, tech, energy, and industrials, and it is particularly known for its rigorous analytics, high-touch advisory model, and long-term client relationships.",
Quantitative Researcher (Off Cycle Internship),Balyasny Asset Management,balyasny-asset-management,https://bambusdev.my.site.com/s/details?jobReq=Quantitative-Researcher--Off-Cycle-Internship-_REQ8058&utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q3 Start,2026-03-23,,Unknown,False,True,False,"Balyasny Asset Management (BAM) is a global multi-strategy investment firm headquartered in Chicago, with additional offices in New York, London, Hong Kong, and other financial hubs. Founded in 2001, the firm manages capital across a range of public market strategies including equities, macro, credit, and quant. BAM operates through a platform model, working with a network of individual portfolio managers who run their own books under the firm's infrastructure and risk oversight. It’s known for its focus on technology, data-driven insights, and recruiting top talent across investment and research teams.",
"2027 | Global Investment Research, Consumer | Seasonal / Off-cycle Internship",Goldman Sachs,goldman-sachs,https://higher.gs.com/roles/179947?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,2027 Q1 Start,2026-07-22,,Unknown,False,True,False,"Goldman Sachs is one of the world’s most prestigious investment banks and financial institutions, offering a wide range of services in investment banking, asset management, global markets, consumer banking, and wealth management. Founded in 1869 and headquartered in New York, the firm serves corporations, financial institutions, governments, and individuals globally. Goldman is widely regarded for its M&A advisory, equity and debt underwriting, and institutional trading, and has been involved in many of the largest and most complex financial transactions in history. It also operates Marcus, its consumer banking platform, and has expanded into transaction banking and alternative investments. Known for its elite talent, risk culture, and thought leadership, Goldman Sachs is also increasingly focused on sustainability, digital finance, and private capital markets. It plays a key role in shaping financial innovation and global capital flows.",
Intern (Financial Institutions Department),CMB Wing Lung Bank,cmb-wing-lung-bank,https://recruit-cmbwlb.bcs.cmbchina.com/?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027#jobDetail?publishId=B5B6A9B4-706C-4981-A1B4-13D71BEA6E7A,Hong Kong,Immediate Start,2026-06-22,,Unknown,False,True,False,"CMB Wing Lung Bank is a Hong Kong based financial institution that provides a comprehensive range of banking services including retail banking, corporate banking, and wealth management. Founded in 1933 and acquired by China Merchants Bank in 2008, it serves as the overseas platform for its parent company to expand international operations. The bank focuses on cross border financial services and connects the capital markets of mainland China with the rest of the world. It maintains a strong presence in the Pearl River Delta region and is recognized for its stable heritage and commitment to high quality customer service.",
Quantitative Researcher Intern,Y-Intercept,y-intercept,https://job-boards.anz.greenhouse.io/yintercepthongkonglimited/jobs/4000160201?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&gh_src=Trackr,Hong Kong,Unspecified Start,2026-06-01,,Unknown,False,True,False,"Y-intercept is a specialized financial technology company that provides a data infrastructure platform for businesses to manage and analyze complex transaction information. Founded to simplify the integration of financial data, the firm offers tools that allow organizations to map, normalize, and consume payment and ledger data more efficiently. Y-intercept serves clients across the fintech and commerce sectors by focusing on scalability and the reduction of technical debt. It operates by streamlining the connection between disparate data sources and internal business systems to improve operational decision making.",
Youth Placement Programme - Indexes,Hang Seng Bank,hang-seng-bank,https://portal.careers.hsbc.com/careers/job/563774610769821?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q3 Start,2026-04-23,2026-06-30,Unknown,False,True,False,"Hang Seng Bank is a prominent financial institution based in Hong Kong, offering a comprehensive range of retail banking, wealth management, and corporate banking services. Founded in 1933, it operates as a principal subsidiary of the HSBC Group and maintains a significant presence across Greater China. The bank is recognized for its strong local market expertise, extensive branch network, and digital banking capabilities. It focuses on serving individual customers and small to medium sized enterprises while providing institutional clients with sophisticated financial solutions.",
Business Analyst Intern,Y-Intercept,y-intercept,https://job-boards.anz.greenhouse.io/yintercepthongkonglimited/jobs/4001218201?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&gh_src=Trackr,Hong Kong,Unspecified Start,2026-06-01,,Unknown,False,True,False,"Y-intercept is a specialized financial technology company that provides a data infrastructure platform for businesses to manage and analyze complex transaction information. Founded to simplify the integration of financial data, the firm offers tools that allow organizations to map, normalize, and consume payment and ledger data more efficiently. Y-intercept serves clients across the fintech and commerce sectors by focusing on scalability and the reduction of technical debt. It operates by streamlining the connection between disparate data sources and internal business systems to improve operational decision making.",
Actuarial Internship (Full-time for 2027 H1/H2),FWD Group,fwd-group,https://fwd.wd3.myworkdayjobs.com/en-US/FWDcareersite/job/Actuarial-Internship--Full-time-for-2027-H1-H2-_JR-0025966?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,"2027 Q2 Start,2026 Q4 Start",2026-05-26,,Unknown,False,True,False,"FWD Group is a pan-Asian life insurance company with a focus on making the insurance journey simpler, faster, and smoother. Founded in 2013 and headquartered in Hong Kong, the company operates across ten markets in Asia, including mainland China, Southeast Asia, and Japan. FWD leverages digital technology and human-centric design to provide products such as life, medical, critical illness, and employee benefits insurance. The firm aims to change the way people feel about insurance by using a customer-led approach and accessible platforms to reach a growing demographic of digitally savvy consumers.",
"Off-Cycle Internship - Corporate Engagement, Investment Group",Wellington Management,wellington-management,https://wellington.wd5.myworkdayjobs.com/en-GB/Campus/job/Off-Cycle-Internship-for-Corporate-Engagement--Investment-Group--6-12-months-_R94351?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,Unspecified Start,2026-06-19,,Unknown,False,True,False,"Wellington Management is a global asset manager with over $1 trillion in assets under management, serving institutional and individual investors across more than 60 countries. Headquartered in Boston and operating as a private, partner-owned firm, Wellington offers a broad array of investment strategies, including active equity, fixed income, hedge funds, private equity, and multi-asset solutions. It is known for its deep research culture, long-term perspective, and collaborative investment process. Wellington is also a major player in sustainable investing and climate risk integration, and has been expanding steadily into private markets and alternative strategies.",
"Cross Asset Structurer Intern (Global Markets, 1-year Contract)",BBVA,bbva,https://www.linkedin.com/jobs/view/4407731315/?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,2026 Q3 Start,2026-05-05,,Unknown,False,True,False,"Banco Bilbao Vizcaya Argentaria (BBVA) is a multinational banking group headquartered in Spain, with a strong presence across Latin America, the US, and Europe. Formed in 1999 through a merger of long-established Spanish banks, BBVA offers services in retail banking, corporate finance, asset management, and digital banking. It has been a leader in banking digitalisation and sustainability-linked finance, particularly in emerging markets. BBVA supports a wide client base including individuals, SMEs, and large corporates.",
"2026 Global Investment Research, Industrial Tech - Off-cycle Internship",Goldman Sachs,goldman-sachs,https://higher.gs.com/roles/171082?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,2026 Q3 Start,2026-07-01,,Unknown,False,True,False,"Goldman Sachs is one of the world’s most prestigious investment banks and financial institutions, offering a wide range of services in investment banking, asset management, global markets, consumer banking, and wealth management. Founded in 1869 and headquartered in New York, the firm serves corporations, financial institutions, governments, and individuals globally. Goldman is widely regarded for its M&A advisory, equity and debt underwriting, and institutional trading, and has been involved in many of the largest and most complex financial transactions in history. It also operates Marcus, its consumer banking platform, and has expanded into transaction banking and alternative investments. Known for its elite talent, risk culture, and thought leadership, Goldman Sachs is also increasingly focused on sustainability, digital finance, and private capital markets. It plays a key role in shaping financial innovation and global capital flows.",
Off-Cycle Internship - Corporate Finance,Houlihan Lokey,houlihan-lokey,https://hl.wd1.myworkdayjobs.com/en-US/Campus/job/Off-Cycle-Internship---Corporate-Finance_R3393?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&source=Trackr,Hong Kong,2026 Q4 Start,2026-07-07,2026-07-13,Unknown,False,True,False,"Houlihan Lokey is a global investment bank headquartered in Los Angeles, specialising in M&A advisory, capital markets, financial restructuring, and valuation services. The firm is widely recognised for its leading role in middle-market transactions and has consistently ranked as the top global M&A advisor by volume. In restructuring, Houlihan Lokey is a dominant player, often advising both creditors and debtors on high-profile bankruptcies and distressed situations. It also has one of the largest dedicated financial valuation teams globally, supporting litigation, tax, and financial reporting mandates. With offices across North America, Europe, the Middle East, and Asia-Pacific, the firm serves public and private companies, financial sponsors, and government entities. Houlihan Lokey’s sector coverage spans consumer, healthcare, tech, energy, and industrials, and it is particularly known for its rigorous analytics, high-touch advisory model, and long-term client relationships.",
"Student Intern, Investment",FWD Group,fwd-group,https://fwd.wd3.myworkdayjobs.com/en-US/FWDcareersite/job/Hong-Kong---FWD-Tower/Student-Intern--Investment_JR-0027133?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027&source=Trackr,Hong Kong,Unspecified Start,2026-06-09,,Unknown,False,True,False,"FWD Group is a pan-Asian life insurance company with a focus on making the insurance journey simpler, faster, and smoother. Founded in 2013 and headquartered in Hong Kong, the company operates across ten markets in Asia, including mainland China, Southeast Asia, and Japan. FWD leverages digital technology and human-centric design to provide products such as life, medical, critical illness, and employee benefits insurance. The firm aims to change the way people feel about insurance by using a customer-led approach and accessible platforms to reach a growing demographic of digitally savvy consumers.",
VC Intern,Sparks Physical AI Ventures,sparks-physical-ai-ventures,https://www.linkedin.com/jobs/view/4440726977/?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027,Hong Kong,Unspecified Start,2026-07-16,,Unknown,False,True,False,"Sparks Physical AI Ventures is a venture capital firm focused on investing in early-stage startups that integrate artificial intelligence with physical hardware and robotics. Based in the United States, the firm targets technologies that bridge the gap between digital intelligence and real-world applications, such as autonomous systems, industrial automation, and advanced manufacturing. It supports entrepreneurs building scalable infrastructure to address complex physical challenges. The firm provides both capital and strategic guidance to help technical teams transition from research and development to commercial production.",
"2027 Off-Cycle Internship - Global Wealth Management, Solutions",UBS,ubs,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?utm_source=Trackr&utm_medium=tracker&utm_campaign=Hong_Kong_Finance_2027&partnerid=25008&siteid=5131&PageType=JobDetails&jobid=347374,Hong Kong,2027 Q1 Start,2026-07-03,2026-08-03,Unknown,False,True,False,"UBS is a global financial services firm headquartered in Zurich, offering wealth management, investment banking, asset management, and retail banking. With a particularly strong presence in global wealth management, UBS serves high-net-worth and institutional clients across Europe, the Americas, and Asia-Pacific. The firm also operates a sizeable investment banking division and is active in advisory, capital markets, and equities trading. UBS has placed increased emphasis on sustainable investing, digital innovation, and its integrated client model following its 2023 acquisition of Credit Suisse, reshaping the landscape of European banking.",
Intern - Retirement (Pension) Consulting (6-Months Internship),Mercer,mercer,https://careers.marsh.com/global/en/job/R_352076/Intern-Retirement-Pension-Consulting-6-Months-Internship?utm_source=Trackr&utm_medium=tracker&utm_campaign=HK_Finance_2027,Hong Kong,Unspecified Start,2026-05-20,,Unknown,False,True,False,"Mercer is a global consulting firm specialising in health, wealth, and career services, advising employers, pension schemes, and institutions on human capital strategy and financial risk. A subsidiary of Marsh McLennan, Mercer operates in more than 40 countries and provides services in areas such as retirement planning, investment consulting, workforce transformation, and employee benefits. It is one of the world’s largest investment advisers by assets under advisement and plays a major role in ESG integration, manager research, and portfolio construction. Mercer also advises organisations on health and wellbeing programmes, compensation design, and diversity and inclusion strategies. Its multidisciplinary model blends data, actuarial insight, and strategic consulting to help clients manage workforce and financial outcomes.",
